0,L1-2018,Bundesliga,Germany
2,368860,Torben Müsel,1999-07-25,Grünstadt,Germany,185,N/A,N/A,CF,18,26,315000
1,24,Eintracht Frankfurt,L1-2018,40
2,45672,Kevin Trapp,1990-07-08,Merzig,Germany,189,N/A,N/A,GK,24,31,9000000
2,44594,Felix Wiedwald,1990-03-15,Thedinghausen,Germany,190,N/A,N/A,GK,52,-1,540000
2,379959,Tobias Stirl,2000-04-17,Frankfurt am Main,Germany,189,N/A,N/A,GK,24,41,180000
2,85906,Danny da Costa,1993-07-13,Neuss,Germany,187,N/A,N/A,RB,24,24,10800000
2,85789,Martin Hinteregger,1992-09-07,Sankt Veit an der Glan,Austria,186,N/A,N/A,CB,24,13,9000000
2,146258,Jetro Willems,1994-03-30,Rotterdam,Netherlands,169,N/A,N/A,LB,24,15,5850000
2,170927,Simon Falette,1992-02-19,Le Mans,France,185,N/A,N/A,CB,24,3,3150000
2,546213,Tuta,1999-07-04,São Paulo,Brazil,184,N/A,N/A,CB,24,35,1620000
2,16520,Marco Russ,1985-08-04,Hanau,Germany,190,N/A,N/A,CB,24,23,675000
2,161011,Filip Kostic,1992-11-01,Kragujevac,Yugoslavia (Republic),184,N/A,N/A,LM,24,10,13500000
2,213670,Lucas Torró,1994-07-19,Cocentaina,Spain,190,N/A,N/A,DM,24,16,4500000
2,31067,Jonathan de Guzmán,1987-09-13,Toronto Ontario,Canada,173,N/A,N/A,CM,24,6,2700000
2,160943,Marc Stendera,1995-12-10,Kassel,Germany,173,N/A,N/A,CM,24,21,1800000
2,385271,Allan,1997-03-03,Porto Alegre,Brazil,172,N/A,N/A,CM,2462,-1,900000
2,336329,Nils Stendera,2000-09-30,Kassel,Germany,177,N/A,N/A,DM,24,26,180000
2,406604,Patrick Finger,2001-01-01,Riedstadt,Germany,-1,N/A,N/A,AM,24,38,135000
2,181375,Sébastien Haller,1994-06-22,Ris-Orangis,France,190,N/A,N/A,CF,24,9,36000000
2,181547,Gonçalo Paciência,1994-08-01,Porto,Portugal,184,N/A,N/A,CF,24,39,2700000
2,171209,Branimir Hrgota,1993-01-12,Zenica,Bosnia-Herzegovina,185,N/A,N/A,CF,24,34,675000
2,336003,Patrice Kabuya,2000-01-07,Wiesbaden ,Germany,178,N/A,N/A,RW,24,25,180000
2,444971,Mischa Häuser,2000-01-23,Bad Homburg,Germany,184,N/A,N/A,LW,24,36,90000
2,107775,Frederik Rönnow,1992-08-04,Horsens,Denmark,190,N/A,N/A,GK,24,1,2250000
2,10917,Jan Zimmermann,1985-04-19,Offenbach am Main,Germany,190,N/A,N/A,GK,24,37,225000
2,371149,Evan NDicka,1999-08-20,Paris,France,192,N/A,N/A,CB,24,2,19800000
2,256866,Carlos Salcedo,1993-09-29,Guadalajara,Mexico,185,N/A,N/A,CB,7055,-1,9000000
2,216181,Almamy Touré,1996-04-28,Bamako,Mali,183,N/A,N/A,RB,24,18,7200000
2,49723,Timothy Chandler,1990-03-29,Frankfurt am Main,Germany,186,N/A,N/A,RB,24,22,4500000
2,58178,David Abraham,1986-07-15,Chabás,Argentina,188,N/A,N/A,CB,24,19,3150000
2,60761,Taleb Tawatha,1992-06-21,Dschisr az-Zarqa,Israel,176,N/A,N/A,LB,24,33,1350000
2,482163,Deji Beyreuther,1999-09-06,Göttingen,Germany,180,N/A,N/A,LB,21,-1,90000
2,215864,Mijat Gacinovic,1995-02-08,Novi Sad,Yugoslavia (Republic),175,N/A,N/A,AM,24,11,8100000
2,67685,Marco Fabián,1989-07-21,Guadalajara,Mexico,170,N/A,N/A,AM,25467,-1,2700000
2,44466,Sebastian Rode,1990-10-11,Seeheim-Jugenheim,Germany,179,N/A,N/A,CM,24,17,2700000
2,20081,Gelson Fernandes,1986-09-02,Praia,Cape Verde,180,N/A,N/A,DM,24,5,1350000
2,39259,Makoto Hasebe,1984-01-18,Fujieda Shizuoka,Japan,180,N/A,N/A,DM,24,20,900000
2,342100,Sahverdi Cetin,2000-09-28,Mainz,Germany,174,N/A,N/A,DM,24,30,180000
2,257462,Luka Jovic,1997-12-23,Bijeljina,Bosnia-Herzegovina,181,N/A,N/A,CF,24,8,49500000
2,187587,Ante Rebic,1993-09-21,Split,Croatia,185,N/A,N/A,SS,24,4,31500000
2,39426,Nicolai Müller,1987-09-25,Lohr am Main,Germany,173,N/A,N/A,RW,42,-1,2250000
2,41541,Danny Blum,1991-01-07,Frankenthal,Germany,183,N/A,N/A,LW,472,-1,630000
2,326399,Nelson Mandela Mbouhom,1999-05-04,Douala,Cameroon,177,N/A,N/A,SS,24,32,90000
1,15,Bayer 04 Leverkusen,L1-2018,39
2,48015,Lukas Hradecky,1989-11-24,Bratislava,CSSR,192,N/A,N/A,GK,15,1,9000000
2,38346,Thorsten Kirschbaum,1987-04-20,Würzburg,Germany,195,N/A,N/A,GK,15,24,270000
2,196357,Jonathan Tah,1996-02-11,Hamburg,Germany,195,N/A,N/A,CB,15,4,31500000
2,228433,Wendell,1993-07-20,Fortaleza,Brazil,178,N/A,N/A,LB,15,18,18000000
2,29993,Sven Bender,1989-04-27,Rosenheim,Germany,186,N/A,N/A,CB,15,5,13500000
2,59032,Aleksandar Dragovic,1991-03-06,Wien,Austria,186,N/A,N/A,CB,15,6,8100000
